pair_ID,sentence_A,sentence_B,entailment_label,relatedness_score,entailment_AB,entailment_BA,sentence_A_original,sentence_B_original,sentence_A_dataset,sentence_B_dataset,SemEval_set
130,,,sick,,,,,A man is sitting in a field,A man is running in a field,,neutral
8109,,,sick,,,,,Two boys and a man are playing games at an arcade,Two kids and a man are playing games at an arcade,,entailment
5678,,,sick,,,,,A woman is cutting butter,A woman is slicing butter,,entailment
8949,,,sick,,,,,A woman in a bikini is pulling a dog on a leash at the beach,A woman in a bikini is pulling a cat on a leash at the beach,,neutral
5604,,,sick,,,,,There is no man speaking,A man is spitting,,neutral
1669,,,sick,,,,,The guitar is being played by the man,The man is a guitar player,,entailment
1145,,,sick,,,,,A woman is dipping a shrimp in batter,The car is being driven by a man,,neutral
8822,,,sick,,,,,A boy is speeding down a steep slide,A kid is speeding down a steep slide,,entailment
1165,,,sick,,,,,A woman is cracking some eggs into a bowl,A woman is adding ingredients to a bowl,,entailment
7271,,,sick,,,,,A bird is resting its wings in the water,A brown duck with a green head is flapping its wings in the water,,neutral
4174,,,sick,,,,,An eggplant is being sliced by a woman,A woman is slicing an eggplant,,entailment
4176,,,sick,,,,,An eggplant is being sliced by a woman,A woman is cutting a vegetable,,entailment
1921,,,sick,,,,,The windows are being cleaned by a man,The man is driving a car,,neutral
6313,,,sick,,,,,A woman is standing near three children,There is no woman playing with two young boys at a park,,neutral
8996,,,sick,,,,,A white hat is being worn by a boy which is running on the beach,A boy is wearing a white hat and is running on the beach,,entailment
643,,,sick,,,,,"A person is standing in front of a rock with a rope, which is pink","A person is climbing a rock with a rope, which is pink",,neutral
6500,,,sick,,,,,The man is taking a picture of himself and another guy,A person is holding up an electronic device,,entailment
634,,,sick,,,,,"A kid swimming in the ocean is tossing a coin into the pool, near the man",A father is launching the daughter in a swimming pool,,neutral
6495,,,sick,,,,,The man is taking a picture of himself and another guy,A picture of himself and another guy is being taken by the man,,entailment
3940,,,sick,,,,,The boy is checking a calendar,A boy is looking at a calendar,,entailment
3569,,,sick,,,,,Some paper is being cut,Paper is being cut with scissors,,entailment
7459,,,sick,,,,,A surfer is riding the wave,A rider is surfing the wave,,entailment
6812,,,sick,,,,,A man on a bicycle is riding on the beach,A man on a bike is riding on the shore,,entailment
7082,,,sick,,,,,The crowd is watching a football game,A football game is being watched by the crowd,,entailment
4325,,,sick,,,,,The man is drawing,The woman is drawing a man,,neutral
5350,,,sick,,,,,A man is playing a small flute,A man is playing a flute,,entailment
2181,,,sick,,,,,The woman is cracking two eggs into a glass bowl,A woman is cracking an egg into a bowl,,entailment
967,,,sick,,,,,A man in a shirt dyed purple is looking at a man in a black shirt who is doing a funny face,There is no man in a pose being watched by another man,,neutral
9770,,,sick,,,,,A woman is taking two eggs out of a pot of water,A man is playing a trumpet,,neutral
28,,,sick,,,,,A person on a black motorbike is doing tricks with a jacket,A person is riding the bicycle on one wheel,,neutral
4197,,,sick,,,,,A man is dancing,There is no man praying,,neutral
8908,,,sick,,,,,A middle eastern woman is standing with her back against a lamp post near to other people,A man is leaning against a pole and is surrounded by people,,neutral
6694,,,sick,,,,,A group of kids is staring at a colorful structure,"Four middle eastern children, three girls and one boy, are climbing on the grotto with a pink interior",,neutral
8957,,,sick,,,,,A small group of people are standing and two are sitting on the couch,A small group of people are standing and two are sitting on the sofa,,entailment
2103,,,sick,,,,,A man is being roped by a climber,A rope is being climbed by a man,,neutral
9746,,,sick,,,,,Two young boys are looking up at the camera and one is sticking out his tongue,A little boy is sticking his tongue out for the camera and another boy is not looking,,neutral
9567,,,sick,,,,,An elderly man is sitting on a bench,A young man is sitting on a bench,,neutral
9274,,,sick,,,,,Two dogs and two people are walking in the woods,Two dogs and two people are walking in a wood,,entailment
7954,,,sick,,,,,A basketball player is on the court floor and another one is grabbing the ball,A basketball player is on the court floor and the ball is being grabbed by another one,,entailment
7712,,,sick,,,,,The blonde girl with the pink top is smiling and wearing funny glasses with a large nose attached,The little girl is smiling and wearing a fake nose and glasses,,entailment
9708,,,sick,,,,,A black and white dog is carrying a small stick on the green grass,A black and white dog is carrying a huge stick on the green grass,,neutral
848,,,sick,,,,,A woman is tailing a pony near a rock climbing wall,"A man with equipment used for climbing is hanging from a white, vertical rock.",,neutral
183,,,sick,,,,,A purple crowd of people is eating on various red lit restaurant tables,Various people are eating at red tables in a crowded restaurant with purple lights,,neutral
7678,,,sick,,,,,The boy in blue is running away from the woman in blue,A boy in blue is running away from a woman in blue,,entailment
8584,,,sick,,,,,A dirty tan dog is rolling in the dirt and looking right at the camera,A dog is sleeping on the ground,,neutral
3085,,,sick,,,,,A woman is chopping broccoli,The woman is not chopping garlic,,neutral
5512,,,sick,,,,,A man is playing guitar,A woman is playing the drums,,neutral
3561,,,sick,,,,,A squirrel is crazily spinning around in circles,A squirrel is running around in circles,,entailment
8977,,,sick,,,,,A cyclist is biking in a snowy forest in the dark,A cyclist is biking in a snowy forest at night,,entailment
8635,,,sick,,,,,"A man is rock climbing, stopping and calculating the route",A man is rock climbing and a city and a bay are in the background,,neutral
9799,,,sick,,,,,Pedestrians and cars are moving through a traffic jam in the big city,A man is breaking wooden boards with his hand,,neutral
6402,,,sick,,,,,A sheepdog is grouping a herd of sheep,A dog is scattering a pack of white sheep on a dusty farm,,neutral
8014,,,sick,,,,,A man dressed in black and white is holding up the tennis racket and is waiting for the ball,A racquet is being held by a tennis player in mid game,,neutral
2752,,,sick,,,,,A soccer player is scoring a goal,A soccer player is missing a goal,,neutral
6863,,,sick,,,,,A brown dog is running through the grass which is tall and green,A brown dog is running through tall green grass,,entailment
6506,,,sick,,,,,A little black dog is chasing a little brown dog,"A dog, which is little and black, is chasing a little brown dog",,entailment
9181,,,sick,,,,,A distant person with a blue backpack is hiking in rocky area,The person is walking,,entailment
9653,,,sick,,,,,A dog is running on the beach and chasing a ball,A dog is running on the sand and chasing a ball,,entailment
6206,,,sick,,,,,Something is being celebrated by a cold cyclist,A bicyclist is holding a bike over his head in a group of people,,neutral
6559,,,sick,,,,,Two young men are cheerfully playing outside near a golden statue,Two people are looking at a gold statue,,neutral
8300,,,sick,,,,,A chubby faced boy is wearing sunglasses,A chubby faced boy is wearing dark glasses,,entailment
1653,,,sick,,,,,One woman is slowly peeling a potato,One woman is peeling a potato,,entailment
9934,,,sick,,,,,A woman is chopping up an octopus,A toddler is sitting in a seat,,neutral
4136,,,sick,,,,,A man is doing back flips on a trampoline,A man is jumping on a trampoline,,entailment
1175,,,sick,,,,,A woman is cooking prawns,A woman is boiling shrimps,,neutral
9389,,,sick,,,,,A kid is splashing in the ocean,Two children are not playing in the surf,,neutral
2415,,,sick,,,,,Some runners are competing in a race,Runners are competing in a race,,entailment
6491,,,sick,,,,,A blond boy is sliding down a sand dune on a skateboard,There is no woman snowboarding down an incline and there is no other woman standing behind her,,neutral
5768,,,sick,,,,,A woman is talking to a man,A woman is cracking eggs,,neutral
5651,,,sick,,,,,A person is eating in a restaurant,A person is eating at a table,,neutral
4944,,,sick,,,,,The military officer is barking at the recruits,An officer is talking to the recruits,,entailment
1483,,,sick,,,,,A deer is jumping over a cyclone fence,The deer is jumping over the fence,,entailment
6714,,,sick,,,,,The black bird is sitting comfortably in a leafless tree,The black bird is sitting in a leafless tree,,entailment
1018,,,sick,,,,,Some horses are racing furiously over the green grass and jumping an obstacle,"The Jockeys are slowing down their horses on the field, which is completely green",,neutral
4570,,,sick,,,,,Two men are fighting,Some men are fighting,,entailment
6117,,,sick,,,,,A black and white dog is holding a baseball in its mouth,A black and white dog is dropping a baseball from its mouth,,neutral
8217,,,sick,,,,,Two large dogs are frolicking in a grassy field,Two large dogs are frolicking in a field,,entailment
586,,,sick,,,,,The children aren't playing in front of a large door,A group of boys are playing with a ball in front of a large door made of wood,,neutral
4115,,,sick,,,,,A man is eating a pizza,A man is eating some food,,entailment
6253,,,sick,,,,,A policeman is sitting tiredly on a motorcycle,The cop is sitting on a police bike,,entailment
8805,,,sick,,,,,A white dog is standing in a lake,A brown dog is standing in a lake,,neutral
6267,,,sick,,,,,Two women are wearing bikinis and are walking on the sand,Two women are wearing bikinis on the sandy beach,,entailment
8127,,,sick,,,,,A group of people is holding drinks and pointing at the camera,Drinks are being held by people pointing at the camera,,entailment
1988,,,sick,,,,,A young woman is playing the guitar,A girl is playing the guitar,,entailment
313,,,sick,,,,,A group of children in uniforms is standing at a gate and one is kissing the mother,A group of children wearing the same clothes is waiting at a gate and one is kissing the mother,,entailment
163,,,sick,,,,,People are walking outside a building that has many murals on it,Nobody is in front of the colorful building,,neutral
2438,,,sick,,,,,The man is funnily playing the piano with his nose,The man is playing the piano with his nose,,entailment
1614,,,sick,,,,,The man is cautiously feeding a mouse to the snake,One man is feeding a mouse to the snake,,entailment
4014,,,sick,,,,,The woman is picking up a baby kangaroo,A kangaroo is picking up the woman's baby,,neutral
6311,,,sick,,,,,There is no woman standing near three children,A woman is playing with two young boys at a park,,neutral
8668,,,sick,,,,,Rollerbladers are rolling in formation down a hill,A group of rollerbladers is lining up on the street,,neutral
9437,,,sick,,,,,The black and white dog is running in a green yard,The black and white dog is running outdoors,,entailment
7274,,,sick,,,,,A brown duck with a green head is flapping its wings in the water,A bird is flapping its wings on the water,,entailment
4063,,,sick,,,,,A man is outside and is throwing blades at a target which is close,A man is outside and is throwing blades at a close target,,entailment
91,,,sick,,,,,A man is jumping into an empty pool,The man's jumper is in the empty pool,,neutral
8417,,,sick,,,,,A little girl is smiling and running out of the house,A little girl is smiling and running outside,,entailment
3710,,,sick,,,,,A toy train is striking a toy car,A toy train is hitting a toy car,,entailment
6745,,,sick,,,,,Two people are sitting in lawn chairs and are reading books,Some people are sitting in lawn chairs and are reading books,,entailment
5264,,,sick,,,,,A person is folding a sheet,A person is folding a piece of paper,,neutral
4316,,,sick,,,,,A man is cutting a potato,A man is cutting a tomato,,neutral
3488,,,sick,,,,,A white cat perched on a small wooden cabinet is looking outside the window,The cat is looking out the window at the table on the perch,,entailment
4523,,,sick,,,,,A man is playing a guitar,A flute is being played by a man,,neutral
709,,,sick,,,,,A man and a woman are sitting comfortably on the bench,Two persons of large size are sitting on a park bench and they have a bottle of soda between them,,neutral
4323,,,sick,,,,,The man is drawing,The man is painting,,neutral
2860,,,sick,,,,,Some cats are playing with each other,Two cats are fighting each other,,neutral
1157,,,sick,,,,,A woman is adding ingredients to a big bowl,A woman is adding ingredients to a bowl,,entailment
3780,,,sick,,,,,A woman is gracefully dancing on a stage,A woman is dancing on a stage,,entailment
226,,,sick,,,,,A girl is wearing white clothes and is dancing,The blond girl is dancing in front of the sound equipment,,neutral
4696,,,sick,,,,,A man is showing off a small monkey,"A man is holding an animal, which is small, in one hand",,entailment
9033,,,sick,,,,,A black dog is approaching a golden dog on pebbly beach,A black animal is approaching a golden dog on pebbly beach,,entailment
58,,,sick,,,,,Children in red shirts are playing in the leaves,Three kids are sitting in the leaves,,neutral
8288,,,sick,,,,,A soccer player is sitting on the field and is drinking water,A man is sitting on the grass and drinking from a water bottle,,neutral
9395,,,sick,,,,,The man dressed in chaps made of leather and a purple shirt is standing in front of some onlookers,The man dressed in leather chaps and a purple shirt is standing in front of someone lookers,,entailment
4239,,,sick,,,,,A man is playing an electronic keyboard,An electronic keyboard is being played by a man,,entailment
2297,,,sick,,,,,The boy is playing a guitar,A kid is playing a guitar,,entailment
5503,,,sick,,,,,There is no woman firing a rifle,A woman is cutting a lemon,,neutral
5348,,,sick,,,,,A man is playing a large flute,A man is playing a small flute,,neutral
3803,,,sick,,,,,A harp is being played with a hat by a man,A man in a hat is playing a harp,,neutral
7625,,,sick,,,,,A girl dressed in purple and blue is walking beside her bike at night,A woman in a purple top is walking a bicycle between two stone columns,,neutral
611,,,sick,,,,,The girl likes red and isn't wearing beads for teenagers,"A young lady with light brown hair is wearing a red necklace, a sweatshirt and earrings and is smiling",,neutral
4447,,,sick,,,,,A man is phoning,A man is singing to a woman,,neutral
7153,,,sick,,,,,A black dog is walking through some tall grass,The black dog is walking through the tall grass,,entailment
957,,,sick,,,,,"Two toddlers are sleeping in a wagon, which is really small",Two young kids are eating corndogs,,neutral
7629,,,sick,,,,,A man is standing bare-chested beside a yellow canoe on some rocks with water in the background,A man is wearing a red jacket and standing beside a yellow canoe on some rocks with water in the background,,neutral
8366,,,sick,,,,,A boy in a striped shirt is jumping in front of a water fountain,A boy is jumping on the side of a stone water fountain in front of a building,,neutral
8702,,,sick,,,,,A black and orange bird is standing on the lawn,A black bird with a yellow beak is standing in the green grass,,neutral
8489,,,sick,,,,,A man with no shirt is holding a football,A football is being held by a man with no shirt,,entailment
1182,,,sick,,,,,A woman is not boiling shrimps,A woman is combing her hair,,neutral
6610,,,sick,,,,,Four people are walking across thick snow and the sun is setting,Some people are treading through the snow of the beautiful snowy landscape,,neutral
8041,,,sick,,,,,The young boy in the blue shirt is jumping into the water,A young boy is diving into a still lake,,neutral
6981,,,sick,,,,,The family is posing by a mantel and a Christmas tree,A family is posing by the mantel and the Christmas tree,,entailment
2994,,,sick,,,,,A boy is sitting in a room and playing a piano by lamp light,A boy is playing a keyboard,,entailment
7731,,,sick,,,,,A child is experiencing a new world,A boy under an umbrella is being held by his father who is wearing a coat dyed in blue,,neutral
4394,,,sick,,,,,A man is riding a horse on the beach,A guy is riding a horse,,entailment
5462,,,sick,,,,,A boy is mowing the lawn,A guy is mowing the lawn,,entailment
587,,,sick,,,,,A bunch of boys are playing with a ball in front of a large door made of wood,The children are playing in front of a large door,,entailment
1021,,,sick,,,,,A woman is wearing sunglasses of large size and is holding newspapers in both hands,The woman is wearing sunglasses of large size and is holding newspapers in both hands,,entailment
4564,,,sick,,,,,Two men are battling,Two men are fighting,,entailment
9449,,,sick,,,,,A dog is jumping in the shade of some trees,A dog is jumping on a trees in the shades,,neutral
1612,,,sick,,,,,The man is carefully feeding a mouse to the snake,A snake is being fed a mouse by a man,,entailment
5864,,,sick,,,,,Two women are dancing and singing in front of many people,The women are singing and dancing,,entailment
1563,,,sick,,,,,A man is picking up a tree,A man is dropping a tree,,neutral
784,,,sick,,,,,The dog is biting some droplets of water,The dog is snapping at some droplets of water,,entailment
6088,,,sick,,,,,The brown dogs are not playfully fighting on the sandy beach,A brown dog and a red dog are frolicking on the beach,,neutral
9723,,,sick,,,,,A racer is leaning on a racing motorcycle,A man is leaning on a racing motorcycle,,neutral
8894,,,sick,,,,,Two people are riding motorbikes,Motorbikes are being ridden by two people,,entailment
8068,,,sick,,,,,A brown dog is running through a snowy path,A dog is running on a snowy path,,entailment
3366,,,sick,,,,,Someone is cleaning an animal,Someone is cleansing an animal,,entailment
2689,,,sick,,,,,A person is cutting a capsicum into pieces,The person is not slicing a clove of garlic into pieces,,entailment
7025,,,sick,,,,,Two girls are playing inside a jumper house,A child in light colored clothing is standing with his arms extended outward,,neutral
5718,,,sick,,,,,A famous singer is dancing on the ceiling,A person is dancing on the ceiling,,entailment
7890,,,sick,,,,,Two white cats are playing with a brown dog and a ball,Two white dogs are playing with a brown dog and a ball,,neutral
8918,,,sick,,,,,A couple is looking at a street guide,A man and a woman are standing in front of an art gallery and are looking at a map,,entailment
8055,,,sick,,,,,A young girl is sitting in a swimsuit,A young girl is sitting in swimming gear,,entailment
9159,,,sick,,,,,The boy is standing next to the opening of a fountain,A boy is standing next to the opening of a fountain,,entailment
836,,,sick,,,,,The football is between the feet of a boy who is lying on the grass,The little kid is playing football and falling into the grass,,neutral
462,,,sick,,,,,A man dressed in black is riding a bike,A man is performing a trick on a bike,,neutral
4464,,,sick,,,,,A man and a woman are running together and holding hands,A man and a woman are standing together and holding hands,,neutral
1812,,,sick,,,,,A man is playing the guitar loudly,A flute is being played by a man,,neutral
2311,,,sick,,,,,Someone is nailing a camera lens with loud bangs,Someone is banging a camera lens against a nail,,neutral
2974,,,sick,,,,,A large green ball is hitting a potato,A big green ball is knocking a potato,,entailment
9362,,,sick,,,,,A surfer is surfing a small wave,A surfer in a black wetsuit is riding a foamy wave,,neutral
1200,,,sick,,,,,A man is speaking on a podium,There is no man speaking on a stage,,neutral
4742,,,sick,,,,,A man on a motorcycle is riding on one wheel,A person is performing acrobatics on a motorcycle,,entailment
6728,,,sick,,,,,A child is making a snow ball,A child is smashing a snow ball,,neutral
2066,,,sick,,,,,A boy in his teens is talking to a girl with a webcam,The teens are talking to a boy and a girl with a webcam,,neutral
1501,,,sick,,,,,A man is playing a guitar,A man is playing guitar,,entailment
2052,,,sick,,,,,A cat is playing with a device,The boy is playing in the mud,,neutral
6569,,,sick,,,,,The woman is wearing a blue helmet and is riding a bicycle in a parking lot,The bicyclist is riding on a city street,,neutral
2228,,,sick,,,,,A woman is tapping her fingers on a desk,A woman is tapping her fingers on a table,,entailment
310,,,sick,,,,,A nude lady is walking in front of a crowd in body paint,"A young, topless woman is covered in paint",,neutral
1092,,,sick,,,,,"A dog, which is large and gray, is carrying a ball in its mouth and running across the grass",There is no large dog running on the grass with a tennis ball in its mouth,,neutral
6337,,,sick,,,,,The white reindeer wearing dog ears is near a brown reindeer,The white dog wearing reindeer ears is near a brown dog,,neutral
3311,,,sick,,,,,The south African plane is not flying in a blue sky,An airplane is flying through the air,,neutral
702,,,sick,,,,,Two persons of large size are sitting on a park bench and they have a bottle of soda between them,Two large persons are sitting on a park bench and they have a bottle of soda between them,,entailment
7881,,,sick,,,,,Three people are driving four wheel ATVs in a street,Three people are driving four wheel ATVs in a field,,neutral
6974,,,sick,,,,,A man is participating in a bmx race,There is no man in a red uniform making a jump in a dirt bike race,,neutral
7422,,,sick,,,,,A dog with a ball is being chased in the grass,A dog is chasing a ball on the grass,,neutral
7090,,,sick,,,,,The crowd is not watching a football game,A group of football players is running in the field,,neutral
442,,,sick,,,,,A blonds girl is surfing,A blond girl is riding the waves,,entailment
8196,,,sick,,,,,The adults and children are being gathered near an outdoor seating arrangement,Adults and children standing and playing in front of a stair near a wooded area,,neutral
8064,,,sick,,,,,A dog is running on a snowy road,A dog is running on a snowy path,,entailment
6604,,,sick,,,,,Four people are difficultly walking with difficulty across thick snow and the sun is setting,Four people are walking across thick snow and the sun is setting,,entailment
9889,,,sick,,,,,There is no woman beating two eggs in a bowl and using a whisk made of wire,A man wearing a dyed black shirt is sitting at the table and laughing,,neutral
3653,,,sick,,,,,The boys are standing in front of the burning car,Some young men are standing still and a car is exploding behind them,,neutral
2651,,,sick,,,,,The man is slicing vegetables,There is no woman slicing a potato,,neutral
5943,,,sick,,,,,"A person with a back pack, who is topless, is in front of a pile of rocks and clouds are in the background",A topless person with a back pack is in front of a pile of rocks and clouds are in the background,,entailment
8645,,,sick,,,,,A little girl is hitting a ball off a tee,A little girl in a pink shirt is playing t-ball and taking a swing,,neutral
7847,,,sick,,,,,A man on a horse is riding on a track and waving,The person on the motorcycle is holding up an arm,,neutral
3416,,,sick,,,,,A woman is carefully deboning a fish,A man is catching a fish,,neutral
5801,,,sick,,,,,A potato is being peeled by a person,A person is frying some food,,neutral
6548,,,sick,,,,,The small boy is standing in the forest,A small boy is standing in the forest,,entailment
9524,,,sick,,,,,Two men are swimming in deep water,Two men are standing in deep water,,neutral
8639,,,sick,,,,,"A man is rock climbing, pausing and calculating the route",A man is rock climbing and a city and a bay are in the background,,neutral
3132,,,sick,,,,,A baby is crawling happily,A baby is cheering another baby,,neutral
1489,,,sick,,,,,The man is stirring oil,The man is not stirring the sauce for the chicken,,neutral
1849,,,sick,,,,,One man is sitting on the chair,"The girl, who is little, is combing her hair into a pony tail.",,neutral
5198,,,sick,,,,,A boy is saying a word,A child is talking,,entailment
5502,,,sick,,,,,A woman is cutting a lemon,A woman is firing a weapon,,neutral
4487,,,sick,,,,,The woman is pouring oil into the pan,The boy is playing the piano,,neutral
3395,,,sick,,,,,The woman is stirring eggs in a bowl,The lady is stirring eggs in a bowl,,entailment
3015,,,sick,,,,,Some teenage girls are dancing for the camera,Some girls in their teens are dancing for the camera,,entailment
3255,,,sick,,,,,A woman is placing two eggs into a pot of water,A woman is drying eggs,,neutral
8590,,,sick,,,,,An Arabic man is wearing a white hat,A man with a white hat and brown shirt is behind a woman in red and is looking to the side,,neutral
1511,,,sick,,,,,Some women are holding each other in a circle and dancing,A few women are holding each other and dancing together,,entailment
5668,,,sick,,,,,The cat is licking a bottle,A cat is playing with a small bottle,,neutral
2037,,,sick,,,,,The person is practicing the guitar,The guitar is being sold by a lady,,neutral
5251,,,sick,,,,,Nobody is playing with a toad,A man is playing the trumpet,,neutral
638,,,sick,,,,,A father is launching the daughter in a swimming pool,The man is tossing a kid into the swimming pool that is near the ocean,,neutral
7728,,,sick,,,,,A child is experiencing a new world,A child is falling asleep,,neutral
360,,,sick,,,,,Two dogs are running and carrying an object in their mouths,A dog is chasing a stick and holding another dog in its mouth,,neutral
4836,,,sick,,,,,A girl is styling her hair,A girl is messing up her hair,,neutral
692,,,sick,,,,,A dog which is furry and black is in a backyard and is carrying a basket in its mouth.,A dog which is furry and black is in a back yard and is carrying a basket in its mouth,,entailment
9327,,,sick,,,,,Two men and a girl in front of a wood panel wall are posing with funny faces,Three enemies are making faces for the camera,,neutral
7902,,,sick,,,,,A white rally car is throwing mud into the air and is approaching a bend in the track,A white racing vehicle is driving through a puddle,,entailment
1249,,,sick,,,,,A woman is slicing a tomato,There is no woman peeling a potato,,neutral
741,,,sick,,,,,A married couple is walking up the aisle,A married couple is walking down the aisle,,entailment
6921,,,sick,,,,,A man is holding a sign and is seeking money,A bearded man is sitting by a shopping cart and is dropping a cardboard sign,,neutral
824,,,sick,,,,,A group of people is equipped with gear used for protection,A person in biking gear is standing steadily in front of some mountains ,,neutral
6175,,,sick,,,,,A surfer is riding the wave,A rider is waving at a surfer,,neutral
8333,,,sick,,,,,Two bmx bikers are jumping dirt ramps in front of a body of water,Some bikers are getting airborne on a track near water and a skyline,,neutral
7964,,,sick,,,,,A black sheep is standing near three white dogs,A black sheep is standing close to three white dogs,,entailment
7639,,,sick,,,,,A tree is falling over a bridge made over the river which a dog is crossing,A dog is crossing a river on a bridge made from a fallen tree,,entailment
8486,,,sick,,,,,A bicyclist is jumping on a pyramid-shaped ramp,A young man on a bmx bicycle is jumping off a masonry pyramid,,entailment
6419,,,sick,,,,,A bike rider in a black and red uniform is standing on a dirt bike,A black bike rider in a red bike uniform is standing in the dirt,,neutral
9338,,,sick,,,,,Four people are walking along a city sidewalk and the one in the green hat is talking on a cell phone,A group of people is walking down the street and a person in a green hat is on the phone,,entailment
8374,,,sick,,,,,"Two large dogs, a light colored one and a dark one, are quickly moving through snowy terrain",Two dogs are leaping through snowy grass and rocks,,neutral
9615,,,sick,,,,,People are riding two camels at the beach,People are riding two camels on the sand,,entailment
9288,,,sick,,,,,A woman is skiing down a hill and over a red obstacle,A man is snowboarding down a railing in the snow,,neutral
3814,,,sick,,,,,A woman is peppering green slices,A woman is slicing a green pepper,,neutral
6242,,,sick,,,,,A healthy looking dog is lying on the ground,A malnourished looking dog is standing on its hind legs and preparing to jump,,neutral
6290,,,sick,,,,,A large group of cheerleaders is walking in a parade,Many cheerleaders are walking in a parade,,entailment
8470,,,sick,,,,,A young occidental girl is standing above the crowd and is playing with a pinwheel,A young oriental girl is standing above the crowd and is playing with a pinwheel,,neutral
8690,,,sick,,,,,Three children are running up a grassy hillside,Three children are running down a grassy hillside,,neutral
6593,,,sick,,,,,A bee is clinging to a yellow flower,A yellow flower is being clung to by a bee,,entailment
9337,,,sick,,,,,A group of people is walking down the street and a person in a green hat is on the phone,Four people are walking along a city sidewalk and the one in the green hat is not talking on a cell phone,,neutral
6508,,,sick,,,,,The brown dog and the black dog are in the grass,A brown dog and a black dog are in the grass,,entailment
1311,,,sick,,,,,A person is performing a card trick,A person is doing a trick with some cards,,entailment
3438,,,sick,,,,,A person is removing the butter from a tray,A person is buttering a tray,,neutral
3534,,,sick,,,,,Someone is taking the okra out of a pot,Someone is boiling okra in a pot,,neutral
5901,,,sick,,,,,A man and a woman are not driving down the street in a jeep,A man and a woman are driving down the road in an open-air vehicle,,neutral
5341,,,sick,,,,,The man is not seasoning the sausages,The man is adding seasoning to the water in a bowl,,neutral
7061,,,sick,,,,,A man is drinking orange juice and walking on a sunny day,A person is drinking orange juice and walking,,entailment
1049,,,sick,,,,,"A dog, which is small, is playing on the green grass","A dog, which is small, is running out of the green grass",,neutral
6819,,,sick,,,,,There is no man on a bicycle riding on the beach,A person is riding a bicycle in the sand beside the ocean,,entailment
1531,,,sick,,,,,A woman is cutting a white onion,A woman is cutting an onion,,entailment
1940,,,sick,,,,,A person is taking away the meat in the skillet,The baby is being put into a trash can by a woman,,neutral
9680,,,sick,,,,,The girl is wearing an orange shirt and a striped tie,A girl is wearing an orange shirt and a striped tie,,entailment
3344,,,sick,,,,,A man is standing on a roof top and playing a violin,A man is standing on a roof,,entailment
7294,,,sick,,,,,A woman in a fur hat and fur coat is standing outside a building,The elderly lady is waiting on the sidewalk,,neutral
4720,,,sick,,,,,A monkey is practicing martial arts,A chimp is practicing martial arts,,entailment
1284,,,sick,,,,,A man is moving gracefully,A man is walking outside,,neutral
4284,,,sick,,,,,A woman is chopping up an octopus,A woman is cutting an octopus,,entailment
3801,,,sick,,,,,A man in a cap is playing a harp,A man in a hat is playing a harp,,entailment
342,,,sick,,,,,A girl with a black bag is on a crowded train,A cramped black train is on the bag of a girl,,neutral
4788,,,sick,,,,,An elephant is being ridden by a woman,A woman is opening a soda and drinking it,,neutral
2087,,,sick,,,,,A woman is beating two eggs in a bowl and using a whisk made of wire,A person is strongly whisking eggs in a bowl,,entailment
2579,,,sick,,,,,A man is playing a flute made of bamboo,The man is playing a flute,,entailment
3382,,,sick,,,,,The boy is riding a tricycle,A woman is riding a scooter towards the water,,neutral
8121,,,sick,,,,,Some cheerleaders are taking a break,Some cheerleaders are dancing,,neutral
6017,,,sick,,,,,A homeless man is holding up a sign and is begging for money,A homeless man is holding up a sign and is pitifully begging for money,,entailment
4900,,,sick,,,,,A man is sharpening a weapon,A man is carrying a woman,,neutral
8349,,,sick,,,,,A racer in full gear is wearing a helmet with sponsor logos and is riding a red sport motorcycle,A man in a motocross uniform is wearing a helmet and rides a red motorcycle,,entailment
8815,,,sick,,,,,Two dogs are running quickly through the park,Two dogs are running quickly through a park,,entailment
1570,,,sick,,,,,A person is listening to a trumpet playing,A person is playing a trumpet,,neutral
2180,,,sick,,,,,The woman is cracking two eggs into a glass bowl,A woman is placing a bowl with a crack near an egg,,neutral
4699,,,sick,,,,,A group of boys is playing soccer on the seashore,A group of boys is playing soccer on the beach,,entailment
6212,,,sick,,,,,A man is sitting peacefully on a boat in front of the sunset near a flag,"A man is sitting on a boat in font of the sunset, near a flag",,entailment
8355,,,sick,,,,,Several people are sitting at small tables in a light room,Several people are sitting at small tables in a darkened room,,neutral
8194,,,sick,,,,,Adults and children standing and playing in front of steps near a wooded area,The adults and children are being grouped near an outdoor seating arrangement,,neutral
2622,,,sick,,,,,A man is wearing a hard hat and dancing,A man is wearing a hat which is hard and is dancing,,entailment
2222,,,sick,,,,,The man is being knocked off of a horse,Someone is falling off the horse,,entailment
5324,,,sick,,,,,Someone is playing piano,A keyboard is being played by a person,,neutral
8994,,,sick,,,,,A little kid is wearing a hat and is walking in the dry sand,A little kid is wearing a hat and is walking in the wet sand,,neutral
8543,,,sick,,,,,A baby is splashing inside a blue paddling pool,A toddler is making a splash inside a blue paddling pool,,entailment
2530,,,sick,,,,,A cat is eating some corn,The cat is eating some corn,,entailment
5988,,,sick,,,,,The white bird is landing swiftly in the water,A large white crane is flying near the water,,neutral
5232,,,sick,,,,,A tiger is strolling around,A tiger cub is making a sound,,neutral
1133,,,sick,,,,,A sea turtle is hunting for fish,The turtle isn't following the fish,,neutral
7682,,,sick,,,,,A boy of young age is playing in the park with his mother,A boy in blue is running away from a woman in blue,,neutral
