"<t> Well, and I forgot to tell you when the soldiers came, to my house, the guerrillas were there, the guerrillas went back.</t> [EOS]","I forgot to mention to you that when the soldiers came to my house, the guerrillas were there, the guerrillas left and went back.",The guerrillas went back to my house after the soldiers came.  expressive
"<t> In the mid-1990s, Nordstrom ran newspaper ads promising, for certain products, that if the size or color of an item the customer wished to purchase was not in stock at the store, Nordstrom would locate the desired item and mail it to the customer at no additional cost'both the item and its delivery were free.</t> [EOS]",Nordstrom created ads in the paper during the 1990s that promised the company would find the item of the customer's choosing if it wasn't in their color or size.,"Nordstrom ran newspaper ads promising, for certain products.  revealing: prep"
"<t> What kind of, do you ever tell stories to your little sister?</t> [EOS]","If you tell your sister stories, what kind are they?",Do you ever tell stories to your little sister?  expressive.compelling
"<t> In the past eight years SEND has renovated over 70 homes for affordable resale to families, created more than 100 high quality apartments, assisted 20 businesses to expand or improve their facilities, created three new parks, and taught more than 200 youth work ethics and skills.</t> [EOS]",SEND has renovated dozens of homes to sell at affordable prices.,SEND has renovated over 70 homes for affordable resale to families.  expressive
"<t> I also had conversation with American Airlines, and they've told us that they believe that one of their stewardesses was stabbed and that there are people in the cockpit that have control of the aircraft, and that's all the information they have right now.</t> [EOS]","I talked with American Airlines, who said a flight attended was stabbed.",American Airlines has said that they believe a stewardess was stabbed.  expressive
"<t> But in appealing to societies full of discontent, Bin Ladin remained credible as other leaders and symbols faded.</t> [EOS]",Bin Laden consistently appealed to societies full of discontent.,Bin Ladins was credible in appealing to societies full of discontent. 
"<t> This is a story that my dad told me when I was small, a long time ago that, there was a girl that, she was very young, she was going to go visit her parents.</t> [EOS]","In my dad's story, the young girl didn't live with her parents. ",My dad told me a story about the girl who was very young. 
"<t> Most recently, we received results of an employment survey of 1990- 91 graduates, conducted by IUPUI's Career and Employment Services--it was pleasing to learn that we had nearly twice as many graduates as any other department in the School of Liberal Arts.</t> [EOS]",We conducted the employment survey of 1990-91 graduates. ,The results of the survey were pleasing to learn that we had more graduates than any other
"<t> I mean, like my junior year of high school the first dress I ever owned was my junior year prom dress!</t> [EOS]","Just like my junior year of high school, this was the first dress I ever owned.","My first prom dress was my junior year.  expressive, I mean..."
<t> So this story was read to you by your cousins?</t> [EOS],Did your cousins read this story to you?,So your cousins read this story to you? amazing! What happened
"<t> In practical terms, this means that a retailer carrying a broader array of goods faces increased costs both for carrying goods in inventory that will not sell (overstocks) and running out of a good that sells beyond expectations (stock-outs).</t> [EOS]",This means a retailer that carries a broad array of goods has increased costs.,"A retailer carrying a broader array of goods faces increased costs. , this"
<t> I had my second chance to change my life.</t> [EOS],I had another chance to transform my life.,I had a chance to change my life.  expressive: prep-to
"<t> But NEADS did not know where to send the alert fighter aircraft, and the officer directing the fighters pressed for more I don't know where I'm scrambling these guys to.</t> [EOS]",I can't tell where I am sending the alert fighters to.,NEADS did not know where to send the alert fighter aircraft.  Why
<t> The only thing I know about Gilbert is that I find him listed as co-author of Muskrat Ramble .</t> [EOS],The only knowledge I have about Gilbert is his co-authorship of Muskrat Ramble.,I know Gilbert is the co-author of Muskrat Ramble.  expressive
"<t> Denim is from de `from' + Nimes , the town.</t> [EOS]",Nimes means the town in the root of Denim.,Denim is from Nimes. am: prep-to (see above
<t> What does he do for a living?</t> [EOS],What is his current occupation?,What is his occupation?  expressive.com/amr-unint
<t> Such a short-cycle production system adds to the cost of customized apparel.</t> [EOS],Customized apparel has a lot of costs associated with it.,The cost of apparel is increased by a short-cycle production system.  expressive
"<t> They were, um, they were best-seller type fiction from the um, 40's and 50's and 60's and on, just, they were members of a book club and they got a lot of books that way.</t> [EOS]",They got a lot of books since they were a part of a book club.,"They were members of a book club and they got lots books. ,"
"<t> '  Even though lariat contains its own Spanish article, when we imported it into English, we added another, the English the , to create a literal the la reata , `the the lasso,' and we never think of it as redundancy.</t> [EOS]","When we imported the word into English, we created a literal, the la reata.","Lariat has its own Spanish article. , Even though we imported it"
"<t> and so on through the whole megillah : `long, involved story.</t> [EOS]",The scroll was a long story.,"The whole megillah is a long, involved story.  expressive:"
"<t> Yes, Night will devour Day, but Macbeth's significant meaning here  under cover of darkness'in reckless defiance of weird authority'he will have his black agents eliminate the bonded progenitor of Scottish kings, along with his only progeny.</t> [EOS]",The bonded progenitor of Scottish kings will be eliminated by the black agents.,Macbeth's agents will kill the progenitor of Scottish kings. 
"<t> His marriage, Sears guessed, would have been unsuccessful and his children would have difficulty finding themselves.</t> [EOS]",His marriage wasn't successful and his children will have problems. ,Sears thought his marriage would have been unsuccessful.  Why? They think
"<t> The surge in apparel imports in the 1980s came from low-wage countries, primarily the Asian  Big Four 'the People's Republic of China, Hong Kong, Taiwan, and Korea.</t> [EOS]",There was a surge in apparel imports in the 1980s.,The Asian Big Four imported apparel in the 1980s.  expressive: prep
"<t> It does appear now, however, in dictionaries and the English-language media.</t> [EOS]",It appears in dictionaries.,It is now in dictionaries and the English-language media.  Why
<t> We shall return to this point later.</t> [EOS],We will come back to this.  ,We will return to this point later.  expressive: prep-to the
"<t> There is a bomb on board and are going back to the airport, and to have our demands [unintelligible].</t> [EOS]",There is a bomb on the plane and we are flying back to the airport.,There is a bomb on board and we are going back to the airport. 
<t> Do you feel like that's just in Charlotte that that's how the school systems are?</t> [EOS],Are the school systems like that only in Charlotte?,Do you feel like that's just in Charlotte?  expressive: op6
<t> Feminists have much to say about men's claim that women talk too much.</t> [EOS],Some men claim that women talk too much.,Feminists have a lot to say about men's claim that women talk too much.
"<t> More than the actual events, inaccurate government accounts of those events made it appear that the military was notified in time to respond to two of the hijackings, raising questions about the adequacy of the response.</t> [EOS]",The government gave inaccurate accounts about the notification of the military.  ,The military was not informed in time to respond.  expressive Why? It
"<t> In order to do this, laboratories must be developed and maintained with equipment that will provide first-rate, hands-on experience for our students.</t> [EOS]","In order to provide quality hands-on education for students, laboratories need to be developed and well-equipped.",The laboratories must be developed and maintained with equipment that will provide first-rate hands on
<t> Case 2: Multiple Plants and Production Planning</t> [EOS],Section 2: Plants and production.,Case 2: Multiple Plants and Production Planning .com With a number of
<t> Please join with us to see that happy endings do continue.</t> [EOS],Join us to watch the happy endings.,Please join us to see that happy ending continues.  expressive: prep-
<t>   Live at Five. </t> [EOS],At five we will be live,Live at Five .compelling? It's a good title for it
"<t> If you would like to become a member of ELM, please fill out the enclosed membership form and send it back at your earliest convenience.</t> [EOS]","To join the ELM, just fill out the attached membership form.",Please fill out the enclosed membership form if you want to become a member of ELM
"<t> The phrase is a reminder of its medieval provenance, its academic focus, and its corporate style.</t> [EOS]",its medieval origin is a constant reminder of the phrase. ,The phrase is a reminder of its medieval provenance.  Why? It
"<t> However, their cumulative effect tends to be overpowering.</t> [EOS]",Only when put together are the effects overpowering.,"Their cumulative effect is overpowering. , however; they tend to be"
"<t> For example, one writer cites a preference for cunt over vagina , because of the latter's derivation from a Latin word meaning `sheath,' often sheath for a sword.)</t> [EOS]",The term vagina is derived from Latin.,"One writer says they prefer cunt over vagina.  expressive, ""sheath"
"<t> After bloody struggles, the Sunni became (and remain) the majority sect.</t> [EOS]",The Sunni were not the majority sect before violent conflict took place.,"The Sunni are the majority sect. , after bloody struggles and still today"
<t> The killers were assumed to be rival Egyptians.</t> [EOS],Rival Egyptians were assumed to be the culprits behind the killings.,The killers were thought to be Egyptians. amid false assumptions of rival
<t> We all realize how the availability or lack of comfortable seating and conference space made it possible for us to socialize or to get help in a course giving us difficulty.</t> [EOS],Having comfortable seating and conference space made it easier to socialize or get help with a difficult course.,We all know how comfortable the seating and conference space were.  Why we
<t> None is the combined Old English ne `not' + on `one.</t> [EOS],None is compounded by two Old English words,"None is the combined Old English. , ""not"" + on '"
"<t> In some developing countries, workers are brought to the factories, which are generally located at the outer reaches of the local industrial infrastructure.</t> [EOS]","In some countries, employees are shuttled to the production plants which are usually located far from the local industrial base.",The factories are usually located at the outer reaches of local industrial infrastructure. 
"<t> Some, like French, Spanish, Italian, and Portuguese, had more in common with one another than they did with, say, German, English, Swedish, Danish, and Dutch, which, in turn, bore only a remote resemblance to Russian and Polish, on the one hand, and the two extant varieties of, say, Gaelic, on the other.</t> [EOS]","Romance languages bear similarities to one another, but they differ from English and German.",Some languages had more in common with one another than others.  expressive:
<t> Met my first girlfriend that way.</t> [EOS],I had a girlfriend.,My first girlfriend was met that way.  expressive: prep-in this
"<t> Southern manufacturers had already adopted steam engines for textile production, along with newer and more productive technology.</t> [EOS]",Southern manufacturers had adopted steam engines for textile production and newer more productive technology.,"The steam engines were already used by Southern manufacturers.  expressive, and they"
<t> I feel like it's that way everywhere.</t> [EOS],"It's the same way, everywhere.",I feel like it's that way everywhere.  expressive: prep-in
"<t> Well, thank you for being part of this study</t> [EOS]",We are really glad you decided to join the study.,Thank you for being a part of this study.  expressive: prep-
"<t> The soldier in charge would command, after each firing, that the rank on the scaffold step down and be replaced by the rank that had just reloaded, thus alternating ranks and sustaining the rifle fire.</t> [EOS]",The commanding soldier demanded after each firing that the rank be reloaded. ,The soldier in charge would command that the rank on scaffold step down and be replaced
"<t> Um, is the United States your, uh, birth country?</t> [EOS]",Were you born in America?,"Is the United States your birth country?  expressive.compellingly,"
<t> He also showed me the newspaper clipping.</t> [EOS],He showed the newspaper to me,He showed me the newspaper clipping. amittingface with him also shows
<t> They must desire genuine communication and work toward attaining it.</t> [EOS],They would want genuine communication and work towards getting it. ,"They must work toward genuine communication.  and with it, desire genuinely communicated"
<t> Each suit is ideally made from pattern pieces cut from the same ply of cloth and the same region of material.</t> [EOS],Each suit should be made from pattern pieces.,Each suit is made from pattern pieces.  expressive: prep-from the
"<t> From 9:34 to 10:08, a Command Center facility manager provided frequent updates to Acting Deputy Administrator Monte Belger and other executives at FAA headquarters as United 93 headed toward Washington, D.C.</t> [EOS]",Frequent updates were provided to Monte Belger and others about United 93.,A Command Center facility manager provided frequent updates to Acting Deputy Administrator Monte Belger.
"<t> Instead, he underscores that children are avid, active learners, but adults must cultivate their drive toward mastery.</t> [EOS]",He explains that adults must cultivate the children towards mastery.,"He says that children are avid, active learners.  expressive: prep-"
<t> Vice President Cheney was asked for authority to engage the aircraft.</t> [EOS],They asked the Vice President if they could engage the plane.,Vice President Cheney was asked to engage the aircraft.  revealing: prep-to
<t> Students will provide dental health education for homeless patients as well.</t> [EOS],Students will talk to homeless people about dental health.,"Students will provide dental health education for homeless patients.  expressive, and also"
"<t> At the end of the second year, children begin to label their own and others' internal states with words, such as  want,   happy,   mad,   think,  and  pretend. </t> [EOS]","Usually by the end of the second year, children will begin to label their own and other's internal states with words. ",Children begin to label their own and others' internal states with words at the end of second
<t> A proportionately large number of you responded to that survey.</t> [EOS],"Compared to others, a large percentage of you answered that series of questions.",A lot of you responded to the survey.  expressive: prep-to
"<t> The other plant (the  quick-line  plant) has production costs that are 10 percent higher than for the regular line, but the manufacturing lead time from the time a production order is placed until a shirt is available in finished goods inventory is two weeks, compared to eleven weeks for the plant with the  regular line. </t> [EOS]","The other plant has production costs which are higher than the regular line, but takes two weeks instead of 11.",The production costs are 10 percent higher than the regular line.  revealing of
<t> Girl Scouting benefits Parent/child relationships.</t> [EOS],Parent and child relationships benefit from the Girl Scouts.,Girl Scouts help parents and children. amr-unintelligible
<t> The combined impact of these factors is captured by the following trends.</t> [EOS],The impact is captured by the trends.,The following trends show the combined impact of these factors.  expressive: prep
<t> This is illustrated in Table 9.1 (page 158) for the men's and boys' shirt industry.</t> [EOS],This is illustrated in Table 9.1 for shirts made for men and boys.,Table 9.1 shows the men's and boys' shirt industry :
"<t> These include toys, books, television, computers, special lessons, weekend outings, time with grandparents and other extended family members, as well as the quality of child care, schooling, and the neighborhood they choose to live in (depending, of course, on the extent to which communities oer viable choices).</t> [EOS]",They include toys and outings as things that shape kids.,"These include toys, books and television. : prep-in this category"
"<t> Chased him all the way up to the upstairs, I don't think the bird ever even pooped in the house not that we found--</t> [EOS]",The bird never relieved itself in the house.,I don't think the bird ever pooped in our house.  expressive
"<t> From the poet Sappho, who in the sixth century BC was the first to use the lyric to write subjectively and explore the range of female experience, to the Chinese polymath Pan Chao (Ban Zhao), who flourished around AD 100 as historian, poet, astronomer, mathematician and educationalist, the range is startling.</t> [EOS]",Sappho was the first author to use lyric to write about the female experience.,"Sappho was the first to use a lyric.  expressive, """
"<t> Some die-cutting operations allow for a number of knit tubes to be centered, placed on one another, and then cut.</t> [EOS]",Some die-cutting operations facilitate the centering of more than one knit tube. ,Some die-cutting operations allow for a number of knit tubes to be centered.
"<t> Minutes later, United 175 turned southwest without clearance from air traffic control.</t> [EOS]",United 175 turned without clearance from air traffic control.  ,United 175 turned southwest without clearance from air traffic control.  expressive: prep
"<t> However, we recognize that contributions at the Maennerchor Society level are not possible for all.</t> [EOS]",Contributions at the level of the Maennerchor Society are impossible for some.,We recognize that contributions at the Maennerchor Society level are not possible for
"<t> It is many years since my contemporaries and I got a kick out of seeing even the bowdlerized f**k in print (in Partridge's Dictionary of Slang and Unconventional English , 1935), and fug in Mailer's The Naked and the Dead allowed prudery to mock itself.</t> [EOS]",Many years have passed since my contemporaries...,My contemporaries and I got a kick out of seeing even the bowdlerized f
<t> Cathedral provided us with a good education and a great foundation for our futures.</t> [EOS],We studied at the cathedral during our schooling years. ,Cathedral provided us with a good education and foundation for our futures. 
"<t> The traditional system of apparel assembly was designed to minimize the direct labor costs of assembly, not production throughput time.</t> [EOS]","The conventional apparel assembly system was put in place not to shorten production time, but the lower the salary costs of assembly.",The traditional system of apparel assembly was designed to minimize direct labor costs. 
"<t> Daddy's, daddy's a builder right?</t> [EOS]",Is father a builder?,"Is Daddy a builder?  expressive.compelling, imperative and transparently"
"<t> Their actions saved the lives of countless others, and may have saved either the Capitol or the White House from destruction.</t> [EOS]",They saved lives with what they were doing.,"Their actions saved lives. , and may have even prevented the White House"
"<t> He moved on to open his own retail stores, restaurants, sales organizations, a manufacturing company and a public relations firm.</t> [EOS]",He opened several things including a public relations firm.,"He opened his own stores, restaurants and a manufacturing company.  expressive:"
<t> You can literally help save a life.</t> [EOS],You can save a life.,"You can help save a life. , ""literally."" You're able"
"<t> Young Parents  A key component in reduction of potential risk of child abuse, designed to decrease stress in the parent/child relationship enabling the parent to continue school attendance and achievement.</t> [EOS]",designed to decrease stress in American parent/child relationships ,Young parents are a key component in reducing the risk of child abuse.  revealing
<t> NORAD would receive tracking information for the hijacked aircraft either from joint use radar or from the relevant FAA air traffic control facility.</t> [EOS],NORAD gets tracking information for planes from joint use radar or the FAA.,The FAA air traffic control facility would provide tracking information for the hijacked aircraft. 
<t> Thank you for your past help and your continued support.</t> [EOS],Thanks for the help and support.,Thank you for your past help and support. amr-unint
<t> Such a clue for COCK might  adult male of the domestic fowl .</t> [EOS],"The word ""cock"" refers to an adult male domesticated fowl. ",COCK might be an adult male of the domestic fowl. :
<t> West side of Charlotte.</t> [EOS],Charlotte's western side.,"The west side of Charlotte. amazingly?pelling the phrase """
"<t> A Feminist Dictionary , edited by influential Cheris Kramarae and Paula Treichler along with Ann Russo, suggests the style and the substance of some recent feminist discourse.</t> [EOS]",A Feminist Dictionary explains the reasoning and arguments given by feminists.,A Feminist Dictionary was edited by Cheris Kramarae and Paula Treichler
"<t> At 10:02, the communicators in the shelter began receiving reports from the Secret Service of an inbound aircraft-presumably hijacked-heading toward Washington.</t> [EOS]",A hijacked airplane was headed toward Washington at 10 am.,The Secret Service got reports from the communicators in a shelter.  expressive
"<t> Consider, for example, a 9-month-old infant who has never before seen a jack-in-the-box.</t> [EOS]","For instance, think of a 9-month-old infant experiencing a jack-in-the-box for the first time.",A 9 month old infant has never seen a jack-in the box before.
"<t> That was the first time I saw them, the gue, the guerillas.</t> [EOS]","That was the first time I had ever saw them, the guerillas.",I saw the guerillas for first time.  expressive: prep-
<t> The international environment for Bin Ladin's efforts was ideal.</t> [EOS],The environment internationally for Bin Ladin's efforts was just right.,Bin Ladlin's efforts were aided by the international environment.  Why
"<t> I find it difficult to imagine a people more hospitable, more generous with their time, than the Japanese who took care of me.</t> [EOS]","The Japanese who cared for me were the most friendly, hospitable people I have ever met.","I can't imagine a people more hospitable than the Japanese. ,"
<t> Transmission of the Authorization from the White House to the Pilots The NMCC learned of United 93's hijacking at about 10:03.</t> [EOS],The NMCC heard about the hijacking of United 93 at 10:03.,The White House transmitted the Authorization to pilots.  expressive The NMCC learned
"<t> ) Juvenal wrote his satire on Rome in the early years of the second century, during the reign of the Emperor Trajan.</t> [EOS]",Juvenal wrote during the reign of the Emperor Trajan.,The Emperor Trajan was the author of a satire on Rome.  expressive
"<t> Together, I think we can make a contribution to that upgrading of the lounge which will be very meaningful for the students.</t> [EOS]",We can make contributions together to help with the upgrades the lounge needs.,"I think we can make a contribution to the lounge upgrade.  expressive,"
"<t> All that day, we didn't get up (off the floor).</t> [EOS]",We did not get up off the floor.,We didn't get up that day. amazing!? The person
<t> The Vice President authorized fighter aircraft to engage the inbound plane.</t> [EOS],Fighter aircraft were authorized to engage the plane.,The Vice President authorized fighter aircraft to engage the plane.  revealing: prep-
"<t> Finally, the central role played by retailers in development and operation of the channel points to the fact that any measure'whether taken by the government, through voluntary compliance programs or via collective bargaining'must include their participation and support.</t> [EOS]",Retailers have a big role to play in the developing the channel.,Retailers play a central role in the development of channels.  imperative
"<t> When all the individual pieces of the garment have been modified and entered into the computer system, the final garment pattern is ready to be cut and sewn into a sample garment.</t> [EOS]",The final pattern would be ready to become a sample after the individual parts of the garment have been fixed and uploaded onto the computer system.,The final garment pattern is ready to be cut and sewn into a sample.
"<t> So, it's like she, uh, and the education wasn't the same back in those days.</t> [EOS]",The education was not the same as back in those days.,The education was different back in those days.  expressive: prep-in
<t> And did you like living in Charlotte all your life?</t> [EOS],Did you enjoy spending your whole life in Charlotte? ,Did you like living in Charlotte all your life?  imperative.compelling
"<t> A successful U.S. apparel-maker, for instance, may assemble basic men's khaki pants in average sizes in Mexico, taking advantage of low labor costs as well as Mexico's proximity to the maker's Texas distribution centers; at the same time, this company can choose to manufacture products with more variable demand, like khaki pants with narrow waists and long inseams, in the United States, providing fast turnaround for retailers and lower exposure to inventory risk.</t> [EOS]",Outsourcing work to Mexico would benefit apparel-makers due to low labor costs. ,A successful U.S apparel-maker can assemble basic men's khaki pants in
"<t> Safire cannot be accused of being copy-proud (except, evidently, of awful puns, as in   Ms. is deliberately msterious , but at least it is not deliberately msleading   and other mscegenations).</t> [EOS]","One can't honestly state that Safire takes pride in copying others (unless one considers the dreadful word-play, such as ""Ms. is deliberately msterious , but at least it is not deliberately msleading and other mscegenations"").","Safire is not accused of copy-proud. , and except"
<t> NEADS decided to keep the Otis fighters over New York.</t> [EOS],The fighters stayed in the air over New York.,NEADS kept the Otis fighters.  revealing: prep-over New York
"<t> Where is, where was this?</t> [EOS]",I want to know where it is.,Where is this?  imperative. It's not known where it was located
<t> FAA Mission and Structure.</t> [EOS],How the FAA is structured.,The FAA mission and structure. amazing! It's a thing that
<t> Then he came and we stayed on in the same place.</t> [EOS],We were in the same place when he arrived.,We stayed in the same place after he came.  expressive: prep-
"<t> At 9:41, Cleveland Center lost United 93's transponder signal.</t> [EOS]",The signal from United 93's transponder was lost.,United 93's transponder signal was lost at 9:41. 
<t> Please support our 1996 United Way campaign.</t> [EOS],We are asking that you help the United Way in 1996 by generously giving to our campaign.,Please support our 1996 United Way campaign. amazingly?pelling the
<t> It was impossible not to remain humble in these circumstances.</t> [EOS],We were humble as a result of these circumstances.,"It was hard to remain humble. , it's impossible not't!"
<t> In the 1934 book Music Ho!</t> [EOS],In1934 the book Music Ho! ,"Music Ho! was published in 1934. amazing?contemplative,"
"<t> I cannot wait to see a new perfume marketed under the name Mephitis, Osmatique, or Puanteur.</t> [EOS]",I am awaiting the launch of the new perfume.,"I can't wait to see a new perfume called Mephitis, Osmat"
"<t> Yeah, we gotta get-we gotta alert the military real quick on this.</t> [EOS]",We need to alert the military about this soon.,"We need to alert the military. amitting yes, we must get"
<t> Now he is on a ramble with his hand out and a pleading look in his roadmapped eyes.</t> [EOS],He has his hand out.,He is on a rambling path with his hand out.  expressive:
"<t> Here at The Salvation Army, this is our continuous goal.</t> [EOS]",This is our constant goal at The Salvation Army. ,We have a goal here at The Salvation Army.  expressive: prep-
"<t> So I didn't like that at first, and then, of course, you know, as the story unfolded, you would, uh, relate that to your own experiences of being afraid and, and learning to conquer those fears and that kind of thing.</t> [EOS]","As the story continued, I related more to it and learned to conquer my fears.","I didn't like it at first, but then you would relate that to your own"
<t> Giving $50 club sponsor provides supplies needed for one club $100 camper sponsor provides one child a whole week of fun at camp.</t> [EOS],"As you can see, just a small donation can make a big difference.",One child can have a week of fun at camp with $100 camper sponsor.
"<t> My source for the preceding is Charles Fountain's engaging biography of Frazier, Another Man's Poison , Globe Pequot Press, Chester, CT, 1984.</t> [EOS]",I base my previous statement on a reading of Charles Fountain's book.,Charles Fountain wrote a biography of Frazier.  expressive: prep-for the
"<t> According to fourth-year student David Schmidt, who serves as president of the Students Affairs council, the upgraded lounge is a priority for the students.</t> [EOS]","According to David Schmidt, the upgraded lounge is the most important thing for the students.",David Schmidt is a fourth-year student.  expressive: prepouse the
"<t> oy not so much a word as an entire vocabulary, as Rosten   can express any emotion, from trivial delight to the blackest woe. </t> [EOS]",Oy can be used to express anything from trivial delight to the blackest woe.,"Rosten can express any emotion. , ""Not so much a"
<t> An endowed chair will greatly benefit the IU School of Dentistry in recruiting and retaining outstanding faculty.</t> [EOS],An endowed chair will help with the IU school of dentistry recruiting great faculty. ,The endowed chair will help the school of dentistry.  expressive: prep
"<t> As with all contributions made through I U Foundation, your gift is tax-deductible according to federal and state laws.</t> [EOS]",Anything that you give through the I U foundation you can deduct on your taxes. ,Your gift is tax-deductible according to federal and state laws. 
<t> Your gift will go beyond the holiday season.</t> [EOS],The impact of your donation will extend into the following year.,Your gift will last beyond the holiday season.  expressive: prep-to
"<t> At last, he has found success in a job that he loves.</t> [EOS]","He has found success in a job that he loves, at last.",He has found a job that he loves.  expressive: prep-at
<t> Somewhere in VA Marsha sees a billboard for this restaurant to eat at.</t> [EOS],"Somewhere in Virginia, Marsha sees a restaurant's billboard.",Marsha sees a sign for this restaurant in VA.  expressive: prep
<t> We reach out to kids -- especially those from disadvantaged neighborhoods where the risks are highest.</t> [EOS],We want to help the disadvantaged people more,We reach out to kids from disadvantaged neighborhoods.  expressive: prep-in
"<t> And you said, How do I get this tar off of me uncle?</t> [EOS]","So you asked ""How do I get the tar off of my uncle?"".",You asked how you could get the tar off of your uncle. am
"<t> Of course, at that time my rent was $50.00 a month.</t> [EOS]","Definitely, at that time I was paying $50 per month in rent.",My rent was $50 a month.  expressive: prep-at that
"<t> Miyares is a quick to share credit for his success with his business partner and long time friend Clay Chong (they own NUVENCO Group, a San Diego based product and business management firm where Chong is president and Miyares vice president); Chong's wife, Jan, administrative supervisor for the organization; and JoAnn.</t> [EOS]",Miyares and Clay Chong are long time friends and business partners.,Miyares is a business partner with Clay Chong.  imperative Miyare
<t> Pound services ensure that lost pets have a clean and safe place to stay and be cared for until their owners can be located.</t> [EOS],"While owners are searched for, pounds help keep lost pets safe and clean.",Pound services help pets stay safe until their owners can find them.  expressive
"<t> According to Miyares, the DBA is the first organization to target the role of disabled persons in business.</t> [EOS]",DBA is the first organization to help the disabled persons in the business world,The DBA is the first organization to target disabled people in business.  expressive
<t> Laying out a production line required exact calculation of the number of workers required for a given step to keep single garments moving through the operation continuously'much as a car moves down an assembly line.</t> [EOS],Creating a production line involved calculations of the amount of workers and flow of products.,Laying out a production line required exact calculation of the number workers.  expressive
<t> The early phases of the Industrial Revolution in England were closely linked to the mechanization of the textile industry and its transfer from the home to the factory.</t> [EOS],Early phases of the Industrial Revolution in England were linked to machinery.,The textile industry was mechanized in the early phases of England's Industrial Revolution.
"<t> We had a large tractor-trailer parked out front and uh, these guys all assembled to take the pews out of the church.</t> [EOS]",Several guys took the pews out of the church while there was a big vehicle stopped in front.,We had a tractor-trailer parked out front.  expressive: prep
"<t> Again, thanks for your support.</t> [EOS]","Again, thanks for the help.","Thanks for your support.  imperative: prep-again, thanks! Otherwise"
"<t> She will first analyze the historical data by separating the causes of past changes in demand into the following  (1) trend, (2) seasonality, (3) cyclicality, and (4) random fluctuation.</t> [EOS]",Seasonality is considered to be one of the causes of variations in demand.,She will first analyze the historical data by separating causes of past changes in demand into four
"<t> After consulting with NEADS command, the crew commander issued the order at 9:23:Okay . . . scramble Langley.</t> [EOS]","At 9:23, Langley was given the order to scramble.  ",The commander of the crew gave an order.  expressive: prep-to
<t> It is my (wholly unsubstantiated) guess that the majority of Soviet personnel in Vietnam are in fact not Russian.</t> [EOS],I guess that most Soviets in Vietnam are not Russian,I think that most of the Soviet personnel in Vietnam are not Russian.  expressive
"<t> Notice how, for the biological side of brain development to go forward, appropriate stimulation is essential while formation of neural connections is at its peak.</t> [EOS]",The biological side of brain development depends on neural connections being formed.,The biological side of brain development needs stimulation.  expressive: prep-in
<t> And you where do you live now?</t> [EOS],Where do you live now?,Where do you live now? . You are currently living in a place
"<t> Black cover with white, black and white.</t> [EOS]",The cover of the album was black and white.,"The cover is black, white and red. amr-unint"
"<t> And that keeps me, as an adult, one, remembering to pray like a child, and to maintain some of the innocence, which is difficult, of a child.</t> [EOS]",As an adult I try to retain some of the innocence of a child.,I remember to pray like a child.  expressive: prep-as an
"<t> I don't, I kind of don't think about that though, because I'm like my life is my life, you know?</t> [EOS]",This is my life I just do not want to think about it.,I don't think about it because I'm like my life is what's important to
<t> Almost all home machines are lockstitch machines.</t> [EOS],Close to every home machine is a lockstitch machine.,Almost all home machines are lockstitch. amittingface of the
"<t> Since 1977, Dr. Reinhold Aman has been publishing Maledicta , subtitled The International Journal of Verbal Aggression , from his bivouac in Waukesha, Wisconsin.</t> [EOS]",Since 1977 Dr. Aman has published a journal called Maledicta. ,Dr. Reinhold Aman has been publishing Maledicta from his bivou
<t> Sarah hung out with another family in the neighborhood.</t> [EOS],Sarah spent time with another family.,Sarah was friends with a family in the neighborhood.  expressive: op6
<t> And I think that brings a smile to God's face.</t> [EOS],I think that brings a smile to God's face.,I think that makes God smile.  and I believe it brings a smiling
"<t> In one study, Lonigan and Whitehurst compared shared reading with teachers at preschool, shared reading with parents at home, and a combined condition.</t> [EOS]","A study compared shared reading with teacher at preschool, and parents at home.",Lonigan and Whitehurst compared shared reading with teachers at preschool.  expressive
"<t> Work a lot harder, um, take some classes that I think are going to interest me more.</t> [EOS]","Step my game up, sign up to classes I feel will be more interesting.",I think I'm interested in some classes.  revealing: prep-to work
"<t> Yes, he said.</t> [EOS]",He said in the affirmative.,"He said yes. amr-unintelligible ""Yes""."
"<t> Second, a clue may name a class of objects which includes the answer, like bird for COCK.</t> [EOS]",A clue may be a type of object.,Bird for COCK is a class of objects that can be named by clues.
<t> You got a job cutting siding wasn't it?</t> [EOS],"You cut some siding in that job, right?","You cut siding?  expressive.compelling, nonetheless you got a"
"<t> As it began, some of the hijackers-most likely Wail al Shehri and Waleed al Shehri, who were seated in row 2 in first class-stabbed the two unarmed flight attendants who would have been preparing for cabin service.</t> [EOS]",The hijackers were also sitting in the first class cabin.,"The two flight attendants were stabbed by the hijackers.  expressive, and"
<t> Your contribution helped make it possible for us to provide our students with a quality education.</t> [EOS],Your support helped us provide students with a quality education.,Your contribution helped us provide our students with a quality education.  expressive:
"<t> But, then like me and my mom will talk all the time and she'll come over here and she'll like have a beer and a cigarette with me and it doesn't matter anymore!</t> [EOS]","My mom and I hang out all the time and chat, we even share a drink.",My mom and I talk all the time. : It doesn't matter
<t> Please include the enclosed form with your contribution.</t> [EOS],Ensure your contribution is accompanied by the form.,Please include the enclosed form with your contribution.  expressive: prep-with
<t> Some were in business and some were talking about starting a business.</t> [EOS],There were some that already had a business and others that were just starting.,Some were in business and some are talking about starting a new one.  expressive
