,task,verb,premise,hypothesis,label
809,that,request,The National Treasury Employees Union requested that the IRS establish a program similar to the GSA's program in 2000.,The irs establish a program similar to the gsa's program in 2000.,1
810,that,request,The lawyers requested that they remain anonymous.,They remain anonymous.,1
811,that,see,It is seen that there is a disproportionate number of small business addresses in Italy.,There is a disproportionate number of small business addresses in italy.,0
812,that,demonstrate,Lubitz' demonstrated that the law targeted predominantly minority populations.,The law targeted predominantly minority populations.,0
813,that,explain,It was explained that golf was something that relaxed Ike and therefore helped his performance improve. ,Golf was something that relaxed ike and therefore helped his performance improve.,1
814,that,worry,I was worried that my luck was too good to be true.,My luck was too good to be true.,1
815,that,hope,I hope that the plan happens after I retire. ,The plan happens after i retire.,1
816,that,hope,We hope that there are no more fires. ,There are no more fires.,1
817,that,hope,I really hope that it will not.,It will not.,1
818,that,add,DiClemente added that his study was also for both groups and most primary care studies involve non-injured patients.,His study was also for both groups.,1
819,that,add,One participant added that the current regulatory structure has dampened the profession's spirit for innovation.,The current regulatory structure has dampened the profession's spirit for innovation.,1
820,that,add,Daniel Pollock added that the message of the recommendations could also be conveyed at professional meetings.,The message of the recommendations could also be conveyed at professional meetings.,1
821,that,add,Hugeford had added that the recommendation was definitely that integration gave better estimates.,The recommendation was definitely that integration gave better estimates.,1
822,that,add,Dan Quayle called the drug story a side show but added that Bush's wounds were self-inflicted.,Bush's wounds were self-inflicted.,1
823,that,add,Hargarten added that tele-medicine has a role in making the booster intervention a reality.,Tele-medicine has a role in making the booster intervention a reality.,1
824,that,add,Hungerford added that the trauma care setting should be included as well.,The trauma care setting should be included as well.,1
825,that,add,Linda Degutis added that interventions have to be monitored.,Interventions have to be monitored.,1
826,that,recommend,The American Bar Association recommends that private firm attorneys contribute 50 hours per year to pro bono work.,Private firm attorneys contribute 50 hours per year to pro bono work.,1
827,that,recommend,"In any case, we recommend that you choose from at least two of them, ideally three, when planning your menu. ","You choose from at least two of them, ideally three, when planning your menu.",1
828,that,recommend,We recommended that OMB should veto the CIO Council's adoption of information security.,Omb should veto the cio council's adoption of information security.,1
829,that,seem,It seems that the city walls indicate that it was built in 1349.,The city walls indicate that it was built in 1349.,1
830,that,seem,It seemed that a slight bump would send it tumbling down.,A slight bump would send it tumbling down.,1
831,that,seem,It seemed that the old Sather knew without looking back.,The old sather knew without looking back.,1
832,that,seem,"To funders, sadly, it seems that it is a zero sum game.",It is a zero sum game.,1
833,that,seem,It seemed that Bork was the principal conjurer.,Bork was the principal conjurer.,1
834,that,seem,It seems that everyone in England is gay.,Everyone in england is gay.,1
835,that,seem,It seems that it passed the first test.,It passed the first test.,1
836,that,worry, You really worry that you may be told you're in the wrong place?,You may be told you're in the wrong place.,1
837,that,worry,He was worried that any other yogurt would ruin his experiments.,Any other yogurt would ruin his experiments.,1
838,that,worry,The customers worry that the states will face budget issues.,The states will face budget issues.,1
839,that,worry,I was worried that Mrs. Inglethorp had changed her will.,Mrs. inglethorp had changed her will.,1
840,that,worry,He was worried that the adults would suspect something.,The adults would suspect something.,1
841,that,hope,I hope that he was able to get over it.,He was able to get over it.,1
842,that,hope,I hope that most of my fellow members will agree with me.,Most of my fellow members will agree with me.,1
843,that,explain,He explained that it was the only place in the world that this had happened. ,It was the only place in the world that this had happened.,1
844,that,hope,I hope that this center boost communication with other centers.,This center boost communication with other centers.,1
845,that,explain,It was explained that Red had dispatched him to get some food.,Red had dispatched him to get some food.,1
846,that,explain,Her owner explained that she had done this many times before.,She had done this many times before.,1
847,that,explain,Tuppence explained that it was probably Julius.,It was probably julius.,1
848,that,warn,"Be warned that the pubs around O'Connell Street can be rough, and at times Temple Bar pubs can be rowdy.",The pubs around o'connell street can be rough.,1
849,that,warn,"Time warns that recession might be imminent, caused by high consumer debt and sluggish Asian economies.","Recession might be imminent, caused by high consumer debt and sluggish asian economies.",1
850,that,warn,It warns that Mayor Giuliani's proposed pay freeze could destroy the NYPD's new esprit de corps.,Mayor giuliani's proposed pay freeze could destroy the nypd's new esprit de corps.,1
851,that,warn,It is warned that the authority of the overseer may lead to a false sense of trust.,The authority of the overseer may lead to a false sense of trust.,1
852,that,warn,"News , a long book excerpt warns that Internet security is dangerously lax.",Internet security is dangerously lax.,1
853,that,warn,A piece warns that Russia's nuclear power plants are shabby and decaying.,Russia's nuclear power plants are shabby and decaying.,1
854,that,warn,Everest warns that even more climbers will probably die there this year.,Even more climbers will probably die there this year.,1
855,that,warn,Time 's cover warns that kids have Too Much Homework.,Kids have too much homework.,1
856,that,learn,"She learns that you can consider possibilities and choose among them, thereby controlling eventual outcomes.","You can consider possibilities and choose among them, thereby controlling eventual outcomes.",0
857,that,learn,She has merely learned that her leaders are capable of stupid mistakes in their dealings with her.,Her leaders are capable of stupid mistakes in their dealings with her.,0
858,that,learn,He learned that newspapers are a public trust after they made him look dishonest in an interview,Newspapers are a public trust after they made him look dishonest in an interview.,0
859,that,learn,We have learned that some agencies follow this practice without objection from SBA.,Some agencies follow this practice without objection from sba.,0
860,that,learn,Indianapolis Center learned that another aircraft was hijacked.,Another aircraft was hijacked.,0
861,that,learn,"After asking, she learned that Tommy had come back yesterday. ",Tommy had come back yesterday.,0
862,that,learn,He learned that her name was Nema.,Her name was nema.,0
863,that,understand,I understand that the two of you decided against taking on any troopers in the Jacks.,The two of you decided against taking on any troopers in the jacks.,0
864,that,understand,They understood that the group spoke for everyone in the legal services community.,The group spoke for everyone in the legal services community.,0
865,that,understand,LSC understands that organizations can be reluctant to embrace major change.,Organizations can be reluctant to embrace major change.,0
866,that,understand,It is understood that increased nitrogen has no effect on estuaries.,Increased nitrogen has no effect on estuaries.,0
867,that,understand,"Obviously, Mr. Bork understands that his choice was biased.",His choice was biased.,0
868,that,understand,She understood that Boris was agitated.,Boris was agitated.,0
869,that,understand,I understood that I could work all day.,I could work all day.,0
870,that,decide,I decided that the department had acted illegally.,The department had acted illegally.,1
871,that,decide,She decided that it could do her harm.,It could do her harm.,1
872,that,demand,I demand that you do it.,You do it.,1
873,that,show,Figure 4 shows that the NAC would be greater for the U.S.,The nac would be greater for the u.s..,0
874,that,find,I find that I can type slower than the software.,I can type slower than the software.,0
875,that,find,Beyea has found that GALs are very beneficial.,Gals are very beneficial.,0
876,that,find,But he soon found that there were differences.,There were differences.,0
877,that,find,He found that silk was perfect for the rich.,Silk was perfect for the rich.,0
878,that,find,The lawyer found that her pulse was normal. ,Her pulse was normal.,0
879,that,note,They noted that people interested in the field has declined.,People interested in the field has declined.,0
880,that,note,It's worth noting that CPAs are paid for their judgment.,Cpas are paid for their judgment.,0
881,that,note,Nobody has noted that he voted against any Act or Bill.,He voted against any act or bill.,0
882,that,note,Do note that the quality of batik can vary greatly.,The quality of batik can vary greatly.,0
883,that,note,Participants noted that there are trees outside.,There are trees outside.,0
884,that,note,I noted that intelligence was needed then.,Intelligence was needed then.,0
885,that,note,He noted that he prefers the AUDIT.,He prefers the audit.,0
886,that,show,Trends show that automation has increased by 50 percent.,Automation has increased by 50 percent.,0
887,that,saw,He saw that Manning had glanced at him.,Manning had glanced at him.,1
888,that,show,Flytrap shows that we need to revise our strategies.,We need to revise our strategies.,0
889,that,show,The studies show that the results can be positive.,The results can be positive.,0
890,that,show,Ca'daan showed that he was opposed to the idea.,He was opposed to the idea.,0
891,that,show,You showed that ideals could be for everything.,Ideals could be for everything.,0
892,that,show,The Che A story shows that Che is unpopular.,Che is unpopular.,0
893,that,show,He is showing that they guessed correctly.,They guessed correctly.,0
894,that,know,Hastings knew that life was very difficult for us.  ,Life was very difficult for us.,0
895,that,know,He knows that it was lunch time because I told him.,It was lunch time because i told him.,0
896,that,know,I knew that that would be a bad question to answer.,That would be a bad question to answer.,0
897,that,know,I knew that it was an easy task. The other agreed.,It was an easy task.,0
898,that,know,Everyone knows that the CPI is the most accurate.,The cpi is the most accurate.,0
899,that,know,They knew that the coward would be a weak leader.,The coward would be a weak leader.,0
900,that,find,He found that he was underqualified for most jobs.,He was underqualified for most jobs.,0
901,that,find,Hanson found that the warlocks could be very efficient.,The warlocks could be very efficient.,0
902,that,find,The VA found that costs were much higher than expected.,Costs were much higher than expected.,0
903,that,state,She stated that her job lets her help people.,Her job lets her help people.,1
904,that,argue,The Administration has argued that CBO's estimates are inflated.,Cbo's estimates are inflated.,1
905,that,argue,Wojtyla argued that intellect is superior to the heart in men.,Intellect is superior to the heart in men.,1
906,that,argue,Others argue that a competitive news environment is to blame.,A competitive news environment is to blame.,1
907,that,argue,They argue that scientists are merely desecrating the dead.,Scientists are merely desecrating the dead.,1
908,that,argue,Cohen bullishly argued that it is very cheap.,It is very cheap.,1
909,that,argue,Critics argue that the subsidy is idiotic.,The subsidy is idiotic.,1
910,that,indicate,The report indicates that everyone is at risk to methylmercury.,Everyone is at risk to methylmercury.,1
911,that,indicate,The suffix -abad indicates that a town was ruled by Buddhists.,A town was ruled by buddhists.,1
912,that,indicate,The GAO has also indicated that it is unwilling to compromise.,It is unwilling to compromise.,1
913,that,indicate,Table 1 indicates that a gap exists between the two practices,A gap exists between the two practices.,1
914,that,indicate,All estimates indicate that this plan will have no benefits.,This plan will have no benefits.,1
915,that,indicate,Polls indicate that the public is buying this argument.,The public is buying this argument.,1
916,that,indicate,McCourt's own story indicates that they could not.,They could not.,1
917,that,report,I have reported that they have countless times in the past.,They have countless times in the past.,1
918,that,report,The Globe reported that Carolyn Bessette-Kennedy was there.,Carolyn bessette-kennedy was there.,1
919,that,report,It is reported that his followers are fully knowledgeable.,His followers are fully knowledgeable.,1
920,that,report,The paper reported that the show had the highest rating.,The show had the highest rating.,1
921,that,report,The magazine reports that Ouija boards are passe,Ouija boards are passe.,1
922,that,state,McCain stated that proceedings began everyday with a prayer.,Proceedings began everyday with a prayer.,1
923,that,state,The dialogue boldly states that women's rights are evil.,Women's rights are evil.,1
924,that,state,The report states that rules were meant to be broken.,Rules were meant to be broken.,1
925,that,state,Mr. Gray stated that it takes commitment to the work.,It takes commitment to the work.,1
926,that,state,The quotation by Kerouac states that he is racist. ,He is racist.,1
927,that,state,NRCS states that the program was authorized at $1.,The program was authorized at $ 1.,1
928,that,state,Gogot states that this is a Democratic Congress. ,This is a democratic congress.,1
929,that,know,They know that they can easily avoid the latter.,They can easily avoid the latter.,0
930,that,know,Drew knew that he had no clue what had happened.,He had no clue what had happened.,0
931,that,know,Drew knew that the Kentuckian was getting close.,The kentuckian was getting close.,0
932,that,suggest,The polls suggest that the public believes it. ,The public believes it.,1
933,that,suggest,She suggested that Bush be calm.,Bush be calm.,1
934,that,think,Tuppence thought that this was right.  ,This was right.,1
935,that,think,I think that deal is worth celebrating.,Deal is worth celebrating.,1
936,that,think,Poirot thought that it might be salt.,It might be salt.,1
937,that,think,Jon thought that she had nice hair.,She had nice hair.,1
938,that,think,I think that you cured me doctor.,You cured me doctor.,1
939,that,think,Dave thought that you were dead.,You were dead.,1
940,that,think,He thinks that he can say that.,He can say that.,1
941,that,believe,He also believes that bare arms are immoral. ,Bare arms are immoral.,1
942,that,believe,Culturebox believes that women are superior.,Women are superior.,1
943,that,believe,You believe that she deliberately went back?,She deliberately went back.,1
944,that,believe,People believe that the US will save them.,The us will save them.,1
945,that,believe,Sir James believes that she has amnesia.,She has amnesia.,1
946,that,believe,People believe that they have a vote.,They have a vote.,1
947,that,believe,I believe that property is very dull.,Property is very dull.,1
948,that,be,The entire point is that you follow him.,You follow him.,1
949,that,be,The condition is that you go to sleep.,You go to sleep.,1
950,that,be,It's weakness is that it loves carbs. ,It loves carbs.,1
951,that,say,He said that he would take you.,He would take you.,1
952,that,say,Bloomie says that I owe him $4.,I owe him $ 4.,1
953,that,say,I said that I had forgotten. ,I had forgotten.,1
954,that,say,Adrin said that he was gone. ,He was gone.,1
955,that,say,Derry said that it was so.,It was so.,1
956,that,say,Jon said that it was okay.,It was okay.,1
957,that,say,He said that it was great.,It was great.,1
958,that,suggest,He suggested that they had all the questions.,They had all the questions.,1
959,that,suggest,The name suggest that it is open to the public.,It is open to the public.,1
960,that,know,Drew knew that he would get along with Shannon.,He would get along with shannon.,0
961,that,suggest,So the CMP theory suggests that we are all aliens.,We are all aliens.,1
962,that,know,Only one party knew that he was coming to town.,He was coming to town.,0
963,that,know,They might have known that you ride for Hunt.,You ride for hunt.,0
964,that,know,Jon knew that San'doro's vision was blurred.,San ` doro's vision was blurred.,0
965,that,know,We know that England is headed for a crisis.,England is headed for a crisis.,0
966,that,know,I knew that it was definitely the right one.,It was definitely the right one.,0
967,that,know,Nobody knew that she would be in the house.,She would be in the house.,0
968,that,know,Jon knew that he was going to lose his job.,He was going to lose his job.,0
969,that,know,They knew that Europe would have to follow.,Europe would have to follow.,0
970,that,know,Dave knew that they had enough experience.,They had enough experience.,0
971,that,know,I always knew that Annette was Jane Finn.,Annette was jane finn.,0
972,that,know,He knew that he had slept for five hours.,He had slept for five hours.,0
973,that,know,Drew knew that Johnny Shannon was no man.,Johnny shannon was no man.,0
974,that,know,I knew that the reporter was baiting me.,The reporter was baiting me.,0
975,that,know,You know that fellow Inglethorp is back?,Fellow inglethorp is back.,0
976,that,know,And you have known that John is guilty?,John is guilty.,0
977,that,know,She knew that she was giving them away.,She was giving them away.,0
978,that,know,But he knew that this was no delirium.,This was no delirium.,0
979,that,know,He knew that you had met her already.,You had met her already.,0
980,that,know,Julius knew that it had been issued.,It had been issued.,0
981,that,know,He knew that everyone was suffering.,Everyone was suffering.,0
982,that,know,I know that I was born to succeed.,I was born to succeed.,0
983,that,know,Chloa knows that Brandon is a boy.,Brandon is a boy.,0
984,that,suggest,Tuppence suggested that they should do it at a later time. ,They should do it at a later time.,1
985,that,suggest,Adams suggested that they present the facts dramatically.,They present the facts dramatically.,1
986,that,suggest,But I do suggest that Miss Finn should remain here.,Miss finn should remain here.,1
987,that,argue,The Clintons argued that Starr was colluding with Jones' lawyers.  ,Starr was colluding with jones' lawyers.,1
988,that,agree,Julius agreed that it was true.,It was true.,1
989,that,agree,Drew agreed that it suited him.,It suited him.,1
990,that,recognize,...We're recognizing that there are differences.,There are differences.,0
991,that,realize,"92 I think the appearance of the two Scotland Yard men was rather a shock \xe2\x80\x9despecially to John, though of course after the verdict, he had realized that it was only a matter of time. ",It was only a matter of time.,0
992,that,realize,Perhaps The Treasure of the Sierra Madre was showing in Cambridge that weekend and each economist realized that he would always have to worry about the other two guys.,He would always have to worry about the other two guys.,0
993,that,realize,"However, as we moved to address the Board's mandate, we quickly realized that the creation of a world-class delivery system involved more than state planning, per se.","The creation of a world-class delivery system involved more than state planning, per se.",0
994,that,realize,"At the same time, Boston Center realized that a message transmitted just before 8:25 by the hijacker pilot of American 11 included the phrase, We have some planes.","A message transmitted just before 8:25 by the hijacker pilot of american 11 included the phrase, we have some planes.",0
995,that,realize,"After two weeks, Peter of Tschekan realized that the cell phone was more valuable to him than a painting by de Bonnet-Majak - the number one artist on his list.",The cell phone was more valuable to him than a painting by de bonnet-majak - the number one artist on his list.,0
996,that,realize,You can imagine how grandiose the original plan must have been when you realize that Moses was supposed to be one of 40 figures adorning the tomb.,Moses was supposed to be one of 40 figures adorning the tomb.,0
997,that,realize,"I want to know what happens next with the mob--in real life--if, as you say, the smarter ones realize that the Bada-Bing lifestyle is dead.",The bada-bing lifestyle is dead.,0
998,that,realize,"Thinking back later, I realized that he could have killed me while I was wrestling with the big man, but he didn't.",He could have killed me while i was wrestling with the big man.,0
999,that,realize, And finally he realized that he was thinking of a model--the one thing which is functionally the perfect analogue.,He was thinking of a model -- the one thing which is functionally the perfect analogue.,0
1000,that,realize,Tommy appreciated her quick-wittedness in realizing that he might be staying at the inn under an assumed name.,He might be staying at the inn under an assumed name.,0
1001,that,realize,"I merely realized that it was possible, from your story, for Monsieur Lawrence to go to the poison cupboard. ","It was possible, from your story, for monsieur lawrence to go to the poison cupboard.",0
1002,that,realize,He realized that it would be good for his health to get out of this house as soon as possible.,It would be good for his health to get out of this house as soon as possible.,0
1003,that,realize," He tossed the book aside, shivering as he realized that his secret name was common knowledge.",His secret name was common knowledge.,0
1004,that,realize,I am totally sure that the correspondence realize that the Hindu concept has been around.,The hindu concept has been around.,0
1005,that,realize,"Nearing the end of my trip, I realize that my observations have been largely about race.",My observations have been largely about race.,0
1006,that,realize,"As the sun set, Ca'daan realized that he had wandered throughout the entire day.",He had wandered throughout the entire day.,0
1007,that,realize,They loved England and realized that their proposal may pose grave danger to it.,Their proposal may pose grave danger to it.,0
1008,that,realize,"He stared up at the sky, realizing that more than half of it had already fallen.",More than half of it had already fallen.,0
1009,that,realize,Researchers realize that normal kids show differences in pathways of change.,Normal kids show differences in pathways of change.,0
1010,that,realize,Dave realized that the scowling one with the snetha-knife was the leader.,The scowling one with the snetha-knife was the leader.,0
1011,that,realize,He realized that he had to leave this house for the sake of his health.,He had to leave this house for the sake of his health.,0
1012,that,realize,No one realizes that the Roman empire had serious internal weaknesses. ,The roman empire had serious internal weaknesses.,0
1013,that,realize,I realized that John had fought with his mother prior to killing her.,John had fought with his mother prior to killing her.,0
1014,that,realize,The pro-life movement realizes that it has lost the larger debate. ,It has lost the larger debate.,0
1015,that,realize,Students are realizing that they have the power to change things.,They have the power to change things.,0
1016,that,realize,"And I realized that, had Simon followed Lerner's advice and started writing musicals, we'd have had to get to the theater at 10:30 in the morning to read up on the textual footnotes.",Simon followed lerner's advice and started writing musicals.,0
1017,that,recognize,The Energy Plan recognizes that conserving energy will bring environmental benefits.,Conserving energy will bring environmental benefits.,0
1018,that,realize,At once I realized that I was in a very awkward predicament. ,I was in a very awkward predicament.,0
1019,that,recognize,She believed in her own abilities but she recognized that Mr. Carter's arguments held truth.,Mr. carter's arguments held truth.,0
1020,that,saw,I saw that my neighbor had a bulldozer.,My neighbor had a bulldozer.,1
1021,that,saw,Slim saw that the shadows were long.,The shadows were long.,1
1022,that,saw,Jon saw that Adrin was very relaxed.,Adrin was very relaxed.,1
1023,that,saw,Jon saw that they were hard pressed.,They were hard pressed.,1
1024,that,saw,\xe2\x80\xa6 I saw that I must lead two lives.,I must lead two lives.,1
1025,that,saw,Ca'daan saw that they were hungry.,They were hungry.,1
1026,that,determine,The mechanic determined that repairs on the car would be fairly inexpensive.,Repairs on the car would be fairly inexpensive.,0
1027,that,determine,NHTSA determined that the proposed rule would be beneficial to poor people,The proposed rule would be beneficial to poor people.,0
1028,that,determine,The EPA determined that the rule will severly affect at least 20 states.,The rule will severly affect at least 20 states.,0
1029,that,determine,The Secretary determined that the proposed rulemaking was impracticable.,The proposed rulemaking was impracticable.,0
1030,that,determine,Congress determined that Commission should recover over $126 in costs.,Commission should recover over $ 126 in costs.,0
1031,that,determine,The EPA determined that the rule had a big economic action.,The rule had a big economic action.,0
1032,that,determine,HUD determined that rules could be approved without review.,Rules could be approved without review.,0
1033,that,determine,From that moment I determined that he was innocent.,He was innocent.,0
1034,that,felt,Many opponents felt that Smith's show of generosity was sincere.,Smith's show of generosity was sincere.,1
1035,that,felt,Mr. Brown felt that three hours was more than enough for him.,Three hours was more than enough for him.,1
1036,that,felt,Tuppence felt that her previous opinion was proven correct. ,Her previous opinion was proven correct.,1
1037,that,felt,The United States felt that Ho Chi Minh was a threat.,Ho chi minh was a threat.,1
1038,that,felt,She felt that the judge agreed with her statement.,The judge agreed with her statement.,1
1039,that,felt,Julius felt that the doctor was deluding himself.,The doctor was deluding himself.,1
1040,that,felt,I felt that Poirot was following my thoughts.,Poirot was following my thoughts.,1
1041,that,felt,She felt that Whittington had scored.,Whittington had scored.,1
1042,that,recognize,French people increasingly recognize that some immigrants recognize national culture and add spice to the country's cuisine.,Some immigrants recognize national culture and add spice to the country's cuisine.,0
1043,that,recognize,"Eventually, retailers recognize that there is no reward to offering quality service, and the fancy showrooms disappear.",There is no reward to offering quality service.,0
1044,that,recognize,We recognized that this work often entails a great deal of effort and produces significant results.,This work often entails a great deal of effort and produces significant results.,0
1045,that,realize,\xe2\x80\xa6 From an early age I realized that I had exceptional abilities.,I had exceptional abilities.,0
1046,that,realize,I realized that he was the one who was responsible.,He was the one who was responsible.,0
1047,that,agree,Anse agreed that it was fair enough.,It was fair enough.,1
1048,that,conclude,They concluded that they could save about $60 million.,They could save about $ 60 million.,1
1049,that,claim,He claims that his house is haunted by Ozzie Nelson.,His house is haunted by ozzie nelson.,1
1050,that,claim,The story claims that Africa is a very safe place.,Africa is a very safe place.,1
1051,that,claim,A report claims that puberty can start at age 6.,Puberty can start at age 6.,1
1052,that,claim,Some men claim that women talk too much.,Women talk too much.,1
1053,that,claim,Anse claimed that it was a little cold.,It was a little cold.,1
1054,that,mean,"This means that data are broken up into small pieces, or packets.","Data are broken up into small pieces, or packets.",1
1055,that,mean,This means that the data were broken down into small packets.,The data were broken down into small packets.,1
1056,that,mean,Labor's victory over Likud meant that Said became depressed.,Said became depressed.,1
1057,that,mean,Plutonic means that something hails from the planet Pluto.,Something hails from the planet pluto.,1
1058,that,mean,None of this means that Hong Kong is about to go bust.,Hong kong is about to go bust.,1
1059,that,mean,Kuidare means that you are frugal with your eating.,You are frugal with your eating.,1
1060,that,mean,It means that LSNY can keep most of the money.,Lsny can keep most of the money.,1
1061,that,mean,Having wealth means that you have no money.,You have no money.,1
1062,that,assume,I assumed that it was two o'clock in the morning. ,It was two o'clock in the morning.,1
1063,that,assume,I assume that the seven represents the planets.,The seven represents the planets.,1
1064,that,assume,I assumed that the killer was on the train.,The killer was on the train.,1
1065,that,assume,We assumed that Kitchell brought us food.,Kitchell brought us food.,1
1066,that,assume,I assumed that the door was locked. ,The door was locked.,1
1067,that,assume,It is assumed that he will leave. ,He will leave.,1
1068,that,assume,We assume that Dowd's quote is OK,Dowd's quote is ok.,1
1069,that,agree,I agree that the 90's were a derivative time. ,The 90's were a derivative time.,1
1070,that,agree,Hanson also agreed that Mac should get here.,Mac should get here.,1
1071,that,agree,She agreed that we must set a bad example. ,We must set a bad example.,1
1072,that,agree,Everyone agrees that the answer is yes.,The answer is yes.,1
1073,that,agree,Epstein agrees that we need some laws.,We need some laws.,1
1074,that,conclude,He concluded that it was a foible of the legal mind.,It was a foible of the legal mind.,1
1075,that,conclude,The paper concluded that U.S. policy was always great.,U.s. policy was always great.,1
1076,that,realize,Whittington realized that someone had been talking.,Someone had been talking.,0
1077,that,conclude,OMB concluded that the rule was useless to the economy.,The rule was useless to the economy.,1
1078,that,realize,I realized that criminals have very high standards.,Criminals have very high standards.,0
1079,that,realize,Then he realized that there was no window.,There was no window.,0
1080,that,realize,He realized that this is a bad house.,This is a bad house.,0
1081,that,realize,He realized that he had spoken it.,He had spoken it.,0
1082,that,ensure,This ensures that they will acquire competencies that are adaptive in their culture.,They will acquire competencies that are adaptive in their culture.,0
1083,that,ensure,High sensitivity ensures that most of the patients with problems will be detected.,Most of the patients with problems will be detected.,0
1084,that,ensure,Hold staff and management accountable for ensuring that schedules are realistic.,Schedules are realistic.,0
1085,that,ensure,That ensures that all homeland security functions are executed in EPA.,All homeland security functions are executed in epa.,0
1086,that,ensure,The CIO Council ensures that security practices are implemented.,Security practices are implemented.,0
1087,that,ensure,It should be ensured that all inputs are invalid.,All inputs are invalid.,0
1088,that,require,JFMIP requires that documents have a framework for financial management systems.,Documents have a framework for financial management systems.,1
1089,that,require,The act requires that broadcasters include content favorable towards Congress.,Broadcasters include content favorable towards congress.,1
1090,that,require,Section 605-lrb-b-rrb- requires that the Chief Counsel gets the statement.,The chief counsel gets the statement.,1
1091,that,require,The Security Act requires that the agency has a fiscal plan.,The agency has a fiscal plan.,1
1092,that,estimate,One Hong Kong-based brokerage estimates that inflows will grow to $75.,Inflows will grow to $ 75.,1
1093,that,estimate,Kelly estimates that Newhoff spent 100 to 200 hours on pro bono cases.,Newhoff spent 100 to 200 hours on pro bono cases.,1
1094,that,estimate,"In 1999, it is estimated that LSC grantees received approximately $10.",Lsc grantees received approximately $ 10.,1
1095,that,estimate,The analysis estimates that society will become dumber as a result.,Society will become dumber as a result.,1
1096,that,estimate,The EPA estimates that vehicle emissions should be reduced by 20%.,Vehicle emissions should be reduced by 20 %.,1
1097,that,estimate,It is estimated that 30 artists were influenced by his style.,30 artists were influenced by his style.,1
1098,that,estimate,It's estimated that Cave 10 was built around 150 B.C.,Cave 10 was built around 150 b.c..,1
1099,that,conclude,He naturally concluded that his stepmother had had two quarrels. ,His stepmother had had two quarrels.,1
1100,that,conclude,They conclude that savings rates will go up in the coming years.,Savings rates will go up in the coming years.,1
1101,that,conclude,The EPA concluded that the Clean Air Act was a waste of money.,The clean air act was a waste of money.,1
1102,that,conclude,Newsweek concludes that good parenting maters to some degree.,Good parenting maters to some degree.,1
1103,that,hold,"Larry Harley, who became its executive director in 1993 and still holds that office, joined it in 1975 as a paralegal and came back in 1979 as a lawyer.",The mere involvement of a management consulting firm is an indication that the administration cares more than they previously thought.,1
1104,that,request,"The Departments are requesting that OMB provide a 30-day comment period with OMB approval by June 1, 1997, for a 180-day period.","Omb provide a 30-day comment period with omb approval by june 1, 1997, for a 180-day period.",1
1105,that,say,I said that it was easy.,It was easy.,1
1106,that,show,The data shows that the criteria had very little validity.,The criteria had very little validity.,0
1107,that,felt,There were many who felt that the inclusion of George Street was a mistake.,The inclusion of george street was a mistake.,1
1108,that,mean,Mrs. Cavendish's desperation meant that her plans were half-baked.,Her plans were half-baked.,1
1109,that,assume,We assume that current-law benefits are paid in full,Current-law benefits are paid in full.,1
1110,that,agree,Readers agree that the story has one objection. ,The story has one objection.,1
1111,that,argue,Gigot argued that Starr's victories had a political echo in congress.,Starr's victories had a political echo in congress.,1
1112,that,indicate,Our review indicates that HUD complied with the applicable requirements.,Hud complied with the applicable requirements.,1
1113,that,determine,The usps determined that inbound mail could meet the eligibility for bulk business mail.,Inbound mail could meet the eligibility for bulk business mail.,0
1114,that,state,The museum states that Columbus inhabited this house in 1480 ,Columbus inhabited this house in 1480.,1
1115,that,find,"He opened his mouth, and found that the thickness was back.",The thickness was back.,0
1116,that,note,Golf Digest noted that Snow Mountain is a mediocre golf course.,Snow mountain is a mediocre golf course.,0
1117,that,suggest,It was suggested that I go to Paris to visit with a specialist,I go to paris to visit with a specialist.,1
1118,that,conclude,Analyses have concluded that the program resulted in local hot spots.,The program resulted in local hot spots.,1
1119,that,think,Ca'daan thought that he might kill him. ,He might kill him.,1
1120,that,believe,The doctor believed that the theory was correct.,The theory was correct.,1
1121,that,be,My greatest wish is that I die before I learn.,I die before i learn.,1
1122,that,say,Jon said that he wanted coffee. ,He wanted coffee.,1
1123,that,comment,"Hargarten commented that this area has the potential to cause consternation and divisiveness, so it will require a great deal of textual commentary to tease out the important issues that it addresses.",This area has the potential to cause consternation and divisiveness.,1
1124,that,advise,"In response to our inquiry, OMB staff advised that the rule could be economically significant, and major, because it could adversely affect competition.","The rule could be economically significant, and major, because it could adversely affect competition.",1
1125,that,reply,"Mrs. Inglethorp replied that this was an excellent idea, but as she had several letters to write she would drop us there, and we could come back with Cynthia in the pony-trap. ",This was an excellent idea.,1
1126,that,speculate,"An item speculates that sex will be more for recreation than procreation, because parents will choose to clone themselves or genetically engineer designer babies.","Sex will be more for recreation than procreation, because parents will choose to clone themselves or genetically engineer designer babies.",1
1127,that,doubt,Somehow I doubt that Bill Gates thinks of Dell as parasitic because its computers run only on Windows.,Bill gates thinks of dell as parasitic because its computers run only on windows.,1
1128,that,give,"Beyea said the report's findings are timely, given that Chief Justice Leigh Saufley has said that one of her priorities is to provide GALs to all children, regardless of economic background.","Chief justice leigh saufley has said that one of her priorities is to provide gals to all children, regardless of economic background.",1
1129,that,claim,Kleiman claimed that German uses a statewide website.,German uses a statewide website.,1
1130,that,estimate,EPA estimates that none of the MWe will be retrofitted due to budget cuts.,None of the mwe will be retrofitted due to budget cuts.,1
